title,difficulty_short,difficulty,level,notes
satfinal,SPH,3,7,722
satfinal,SPA,4,9,963
satfinal,SPL,5,-1,-1
scar in the earth,SPB,1,-1,-1
scar in the earth,SPN,2,4,335
scar in the earth,SPH,3,5,565
scar in the earth,SPA,4,8,766
scar in the earth,SPL,5,-1,-1
soldier's waltz,SPB,1,-1,-1
soldier's waltz,SPN,2,5,416
soldier's waltz,SPH,3,9,818
soldier's waltz,SPA,4,10,1264
soldier's waltz,SPL,5,-1,-1
SOUND OF GIALLARHORN,SPB,1,2,257
SOUND OF GIALLARHORN,SPN,2,6,708
SOUND OF GIALLARHORN,SPH,3,10,1405
SOUND OF GIALLARHORN,SPA,4,11,1668
SOUND OF GIALLARHORN,SPL,5,-1,-1
State Of The Art,SPB,1,-1,-1
State Of The Art,SPN,2,5,552
State Of The Art,SPH,3,8,790
State Of The Art,SPA,4,11,1570
State Of The Art,SPL,5,-1,-1
STEEL NEEDLE,SPB,1,-1,-1
STEEL NEEDLE,SPN,2,6,560
STEEL NEEDLE,SPH,3,10,1121
STEEL NEEDLE,SPA,4,11,1269
STEEL NEEDLE,SPL,5,12,1701
switch,SPB,1,-1,-1
switch,SPN,2,5,407
switch,SPH,3,9,790
switch,SPA,4,11,1069
switch,SPL,5,-1,-1
THE DEEP STRIKER,SPB,1,2,274
THE DEEP STRIKER,SPN,2,6,556
THE DEEP STRIKER,SPH,3,10,1150
THE DEEP STRIKER,SPA,4,11,1528
THE DEEP STRIKER,SPL,5,12,1778
the trigger of innocence,SPB,1,-1,-1
the trigger of innocence,SPN,2,5,451
the trigger of innocence,SPH,3,7,592
the trigger of innocence,SPA,4,9,924
the trigger of innocence,SPL,5,-1,-1
Time to Air,SPB,1,-1,-1
Time to Air,SPN,2,6,640
Time to Air,SPH,3,10,1064
Time to Air,SPA,4,11,1458
Time to Air,SPL,5,-1,-1
TRIP MACHINE PhoeniX,SPB,1,-1,-1
TRIP MACHINE PhoeniX,SPN,2,6,353
TRIP MACHINE PhoeniX,SPH,3,9,842
TRIP MACHINE PhoeniX,SPA,4,10,935
TRIP MACHINE PhoeniX,SPL,5,-1,-1
TROOPERS,SPB,1,-1,-1
TROOPERS,SPN,2,6,625
TROOPERS,SPH,3,10,1216
TROOPERS,SPA,4,12,1496
TROOPERS,SPL,5,-1,-1
Ubertreffen,SPB,1,-1,-1
Ubertreffen,SPN,2,6,555
Ubertreffen,SPH,3,10,1019
Ubertreffen,SPA,4,11,1280
Ubertreffen,SPL,5,12,1655
Wanna Party?,SPB,1,-1,-1
Wanna Party?,SPN,2,4,386
Wanna Party?,SPH,3,7,599
Wanna Party?,SPA,4,8,762
Wanna Party?,SPL,5,11,1300
エコ爺,SPB,1,2,174
エコ爺,SPN,2,4,424
エコ爺,SPH,3,6,678
エコ爺,SPA,4,9,923
エコ爺,SPL,5,-1,-1
マチ子の唄,SPB,1,-1,-1
マチ子の唄,SPN,2,4,418
マチ子の唄,SPH,3,6,662
マチ子の唄,SPA,4,8,901
マチ子の唄,SPL,5,-1,-1
ミラージュ・レジデンス,SPB,1,-1,-1
ミラージュ・レジデンス,SPN,2,5,575
ミラージュ・レジデンス,SPH,3,9,1097
ミラージュ・レジデンス,SPA,4,10,1345
ミラージュ・レジデンス,SPL,5,-1,-1
華爛漫 -Flowers-,SPB,1,2,169
華爛漫 -Flowers-,SPN,2,6,510
華爛漫 -Flowers-,SPH,3,8,804
華爛漫 -Flowers-,SPA,4,10,1029
華爛漫 -Flowers-,SPL,5,-1,-1
高高度降下低高度開傘,SPB,1,-1,-1
高高度降下低高度開傘,SPN,2,5,466
高高度降下低高度開傘,SPH,3,8,777
高高度降下低高度開傘,SPA,4,9,1005
高高度降下低高度開傘,SPL,5,-1,-1
少年A,SPB,1,-1,-1
少年A,SPN,2,6,642
少年A,SPH,3,10,1144
少年A,SPA,4,12,1449
少年A,SPL,5,-1,-1
走馬灯 -The Last Song-,SPB,1,-1,-1
走馬灯 -The Last Song-,SPN,2,3,258
走馬灯 -The Last Song-,SPH,3,4,464
走馬灯 -The Last Song-,SPA,4,7,673
走馬灯 -The Last Song-,SPL,5,-1,-1
3y3s,SPB,1,3,280
3y3s,SPN,2,7,772
3y3s,SPH,3,10,1306
3y3s,SPA,4,12,1871
3y3s,SPL,5,-1,-1
ALL I NEED YOUR LOVE,SPB,1,-1,-1
ALL I NEED YOUR LOVE,SPN,2,5,559
ALL I NEED YOUR LOVE,SPH,3,7,873
ALL I NEED YOUR LOVE,SPA,4,9,1081
ALL I NEED YOUR LOVE,SPL,5,-1,-1
ALL MY TURN -このターンに、オレの全てを賭ける-,SPB,1,-1,-1
ALL MY TURN -このターンに、オレの全てを賭ける-,SPN,2,6,533
ALL MY TURN -このターンに、オレの全てを賭ける-,SPH,3,9,971
ALL MY TURN -このターンに、オレの全てを賭ける-,SPA,4,11,1314
ALL MY TURN -このターンに、オレの全てを賭ける-,SPL,5,-1,-1
Arabian Rave Night,SPB,1,-1,-1
Arabian Rave Night,SPN,2,6,655
Arabian Rave Night,SPH,3,10,1166
Arabian Rave Night,SPA,4,11,1504
Arabian Rave Night,SPL,5,12,1888
B4U(BEMANI FOR YOU MIX),SPB,1,-1,-1
B4U(BEMANI FOR YOU MIX),SPN,2,6,615
B4U(BEMANI FOR YOU MIX),SPH,3,9,1205
B4U(BEMANI FOR YOU MIX),SPA,4,11,1810
B4U(BEMANI FOR YOU MIX),SPL,5,12,2360
Bahram Attack-猫叉Master Remix-,SPB,1,-1,-1
Bahram Attack-猫叉Master Remix-,SPN,2,4,535
Bahram Attack-猫叉Master Remix-,SPH,3,9,997
Bahram Attack-猫叉Master Remix-,SPA,4,10,1314
Bahram Attack-猫叉Master Remix-,SPL,5,11,1640
BITTER CHOCOLATE STRIKER,SPB,1,-1,-1
BITTER CHOCOLATE STRIKER,SPN,2,5,564
BITTER CHOCOLATE STRIKER,SPH,3,10,1142
BITTER CHOCOLATE STRIKER,SPA,4,12,1990
BITTER CHOCOLATE STRIKER,SPL,5,-1,-1
BRIDAL FESTIVAL !!!,SPB,1,-1,-1
BRIDAL FESTIVAL !!!,SPN,2,4,502
BRIDAL FESTIVAL !!!,SPH,3,7,764
BRIDAL FESTIVAL !!!,SPA,4,9,1077
BRIDAL FESTIVAL !!!,SPL,5,-1,-1
CaptivAte2～覚醒～,SPB,1,1,123
CaptivAte2～覚醒～,SPN,2,6,564
CaptivAte2～覚醒～,SPH,3,9,894
CaptivAte2～覚醒～,SPA,4,11,1221
CaptivAte2～覚醒～,SPL,5,-1,-1
Colorful Cookie,SPB,1,3,338
Colorful Cookie,SPN,2,5,570
Colorful Cookie,SPH,3,10,1143
Colorful Cookie,SPA,4,12,1773
Colorful Cookie,SPL,5,-1,-1
Cyber Force -DJ Yoshitaka Remix- ,SPB,1,-1,-1
Cyber Force -DJ Yoshitaka Remix- ,SPN,2,5,553
Cyber Force -DJ Yoshitaka Remix- ,SPH,3,9,944
Cyber Force -DJ Yoshitaka Remix- ,SPA,4,10,1278
Cyber Force -DJ Yoshitaka Remix- ,SPL,5,-1,-1
Flash Back 90's,SPB,1,-1,-1
Flash Back 90's,SPN,2,4,467
Flash Back 90's,SPH,3,8,964
Flash Back 90's,SPA,4,10,1179
Flash Back 90's,SPL,5,-1,-1
Fly Above,SPB,1,-1,-1
Fly Above,SPN,2,5,482
Fly Above,SPH,3,6,815
Fly Above,SPA,4,8,1016
Fly Above,SPL,5,-1,-1
Go Beyond!!,SPB,1,3,276
Go Beyond!!,SPN,2,6,547
Go Beyond!!,SPH,3,10,899
Go Beyond!!,SPA,4,12,1166
Go Beyond!!,SPL,5,-1,-1
HYPERION,SPB,1,-1,-1
HYPERION,SPN,2,6,572
HYPERION,SPH,3,9,1072
HYPERION,SPA,4,11,1385
HYPERION,SPL,5,-1,-1
I'm Screaming LOVE,SPB,1,-1,-1
I'm Screaming LOVE,SPN,2,4,308
I'm Screaming LOVE,SPH,3,6,666
I'm Screaming LOVE,SPA,4,7,851
I'm Screaming LOVE,SPL,5,-1,-1
Jack,SPB,1,-1,-1
Jack,SPN,2,5,465
Jack,SPH,3,7,714
Jack,SPA,4,10,1086
Jack,SPL,5,-1,-1
Just a Little Smile,SPB,1,-1,-1
Just a Little Smile,SPN,2,4,415
Just a Little Smile,SPH,3,8,683
Just a Little Smile,SPA,4,11,1272
Just a Little Smile,SPL,5,-1,-1
Kung-fu Empire,SPB,1,-1,-1
Kung-fu Empire,SPN,2,6,760
Kung-fu Empire,SPH,3,10,1327
Kung-fu Empire,SPA,4,11,1657
Kung-fu Empire,SPL,5,12,1999
Mind Mapping,SPB,1,3,261
Mind Mapping,SPN,2,4,443
Mind Mapping,SPH,3,7,627
Mind Mapping,SPA,4,9,923
Mind Mapping,SPL,5,10,1135
Monkey Dance '09,SPB,1,-1,-1
Monkey Dance '09,SPN,2,4,437
Monkey Dance '09,SPH,3,8,895
Monkey Dance '09,SPA,4,10,1142
Monkey Dance '09,SPL,5,-1,-1
naughty girl@Queen's Palace,SPB,1,-1,-1
naughty girl@Queen's Palace,SPN,2,5,433
naughty girl@Queen's Palace,SPH,3,9,869
naughty girl@Queen's Palace,SPA,4,11,1088
naughty girl@Queen's Palace,SPL,5,11,1380
neogenesis,SPB,1,-1,-1
neogenesis,SPN,2,4,504
neogenesis,SPH,3,6,682
neogenesis,SPA,4,9,864
neogenesis,SPL,5,-1,-1
NΦ CRIME,SPB,1,2,147
NΦ CRIME,SPN,2,4,414
NΦ CRIME,SPH,3,7,736
NΦ CRIME,SPA,4,9,951
NΦ CRIME,SPL,5,-1,-1
Programmed World,SPB,1,-1,-1
Programmed World,SPN,2,5,476
Programmed World,SPH,3,9,910
Programmed World,SPA,4,11,1161
Programmed World,SPL,5,-1,-1
Punch Love 仮面,SPB,1,-1,-1
Punch Love 仮面,SPN,2,5,565
Punch Love 仮面,SPH,3,8,888
Punch Love 仮面,SPA,4,10,1269
Punch Love 仮面,SPL,5,-1,-1
Queen's Tragedy,SPB,1,-1,-1
Queen's Tragedy,SPN,2,4,428
Queen's Tragedy,SPH,3,8,872
Queen's Tragedy,SPA,4,10,1135
Queen's Tragedy,SPL,5,-1,-1
Secrets,SPB,1,-1,-1
Secrets,SPN,2,6,638
Secrets,SPH,3,9,1253
Secrets,SPA,4,11,1592
Secrets,SPL,5,12,2116
smooooch・∀・,SPB,1,2,199
smooooch・∀・,SPN,2,4,418
smooooch・∀・,SPH,3,8,830
smooooch・∀・,SPA,4,10,1089
smooooch・∀・,SPL,5,-1,-1
SOLITON BEAM,SPB,1,-1,-1
SOLITON BEAM,SPN,2,6,741
SOLITON BEAM,SPH,3,9,1071
SOLITON BEAM,SPA,4,10,1187
SOLITON BEAM,SPL,5,-1,-1
THANK YOU FOR PLAYING,SPB,1,-1,-1
THANK YOU FOR PLAYING,SPN,2,5,412
THANK YOU FOR PLAYING,SPH,3,9,858
THANK YOU FOR PLAYING,SPA,4,10,1090
THANK YOU FOR PLAYING,SPL,5,12,1534
thunder HOUSE NATION Remix,SPB,1,-1,-1
thunder HOUSE NATION Remix,SPN,2,5,544
thunder HOUSE NATION Remix,SPH,3,7,838
thunder HOUSE NATION Remix,SPA,4,9,1242
thunder HOUSE NATION Remix,SPL,5,12,1954
Turii ～Panta rhei～,SPB,1,2,186
Turii ～Panta rhei～,SPN,2,4,449
Turii ～Panta rhei～,SPH,3,9,1051
Turii ～Panta rhei～,SPA,4,10,1347
Turii ～Panta rhei～,SPL,5,-1,-1
V2,SPB,1,3,400
V2,SPN,2,6,751
V2,SPH,3,10,1620
V2,SPA,4,11,1810
V2,SPL,5,-1,-1
Y&Co. is dead or alive,SPB,1,-1,-1
Y&Co. is dead or alive,SPN,2,5,569
Y&Co. is dead or alive,SPH,3,9,921
Y&Co. is dead or alive,SPA,4,12,1478
Y&Co. is dead or alive,SPL,5,-1,-1
"You'll say ""Now!""",SPB,1,-1,-1
"You'll say ""Now!""",SPN,2,6,629
"You'll say ""Now!""",SPH,3,10,962
"You'll say ""Now!""",SPA,4,11,1276
"You'll say ""Now!""",SPL,5,-1,-1
ハリツヤランデヴー,SPB,1,-1,-1
ハリツヤランデヴー,SPN,2,5,482
ハリツヤランデヴー,SPH,3,8,1078
ハリツヤランデヴー,SPA,4,10,1251
ハリツヤランデヴー,SPL,5,-1,-1
まほろば,SPB,1,-1,-1
まほろば,SPN,2,5,398
まほろば,SPH,3,7,737
まほろば,SPA,4,9,1033
まほろば,SPL,5,-1,-1
ミッドナイト堕天使,SPB,1,-1,-1
ミッドナイト堕天使,SPN,2,5,500
ミッドナイト堕天使,SPH,3,7,827
ミッドナイト堕天使,SPA,4,11,1398
ミッドナイト堕天使,SPL,5,-1,-1
山岡晃の「クイズ！家事都合！」,SPB,1,-1,-1
山岡晃の「クイズ！家事都合！」,SPN,2,4,339
山岡晃の「クイズ！家事都合！」,SPH,3,7,700
山岡晃の「クイズ！家事都合！」,SPA,4,10,1035
山岡晃の「クイズ！家事都合！」,SPL,5,-1,-1
鉄甲乙女-under the steel-,SPB,1,-1,-1
鉄甲乙女-under the steel-,SPN,2,4,474
鉄甲乙女-under the steel-,SPH,3,7,826
鉄甲乙女-under the steel-,SPA,4,10,1098
鉄甲乙女-under the steel-,SPL,5,-1,-1
天空脳番長危機十六連打,SPB,1,-1,-1
天空脳番長危機十六連打,SPN,2,5,525
天空脳番長危機十六連打,SPH,3,10,1115
天空脳番長危機十六連打,SPA,4,11,1323
天空脳番長危機十六連打,SPL,5,-1,-1
卑弥呼,SPB,1,-1,-1
卑弥呼,SPN,2,6,643
卑弥呼,SPH,3,11,1442
卑弥呼,SPA,4,12,2119
卑弥呼,SPL,5,-1,-1
不沈艦CANDY,SPB,1,3,306
不沈艦CANDY,SPN,2,6,601
不沈艦CANDY,SPH,3,9,1014
不沈艦CANDY,SPA,4,12,1682
不沈艦CANDY,SPL,5,-1,-1
翼,SPB,1,-1,-1
翼,SPN,2,4,454
翼,SPH,3,7,765
翼,SPA,4,9,988
翼,SPL,5,-1,-1
凛として咲く花の如く,SPB,1,2,198
凛として咲く花の如く,SPN,2,6,672
凛として咲く花の如く,SPH,3,9,1087
凛として咲く花の如く,SPA,4,10,1398
凛として咲く花の如く,SPL,5,11,1595
AIR RAID FROM THA UNDAGROUND,SPB,1,3,276
AIR RAID FROM THA UNDAGROUND,SPN,2,7,592
AIR RAID FROM THA UNDAGROUND,SPH,3,9,952
AIR RAID FROM THA UNDAGROUND,SPA,4,11,1189
AIR RAID FROM THA UNDAGROUND,SPL,5,12,1523
Almagest,SPB,1,-1,-1
Almagest,SPN,2,7,519
Almagest,SPH,3,11,1146
Almagest,SPA,4,12,1629
Almagest,SPL,5,-1,-1
Bad Maniacs,SPB,1,-1,-1
Bad Maniacs,SPN,2,7,667
Bad Maniacs,SPH,3,10,989
Bad Maniacs,SPA,4,12,1656
Bad Maniacs,SPL,5,-1,-1
bass 2 bass,SPB,1,1,141
bass 2 bass,SPN,2,4,366
bass 2 bass,SPH,3,7,638
bass 2 bass,SPA,4,10,970
bass 2 bass,SPL,5,-1,-1
beatchic☆仮面～好き、でいさせて～,SPB,1,-1,-1
beatchic☆仮面～好き、でいさせて～,SPN,2,5,507
beatchic☆仮面～好き、でいさせて～,SPH,3,8,836
beatchic☆仮面～好き、でいさせて～,SPA,4,9,1017
beatchic☆仮面～好き、でいさせて～,SPL,5,-1,-1
BEAUTIFUL ANGEL,SPB,1,-1,-1
BEAUTIFUL ANGEL,SPN,2,4,321
BEAUTIFUL ANGEL,SPH,3,8,921
BEAUTIFUL ANGEL,SPA,4,10,1254
BEAUTIFUL ANGEL,SPL,5,-1,-1
being torn the sky,SPB,1,-1,-1
being torn the sky,SPN,2,4,331
being torn the sky,SPH,3,7,613
being torn the sky,SPA,4,10,998
being torn the sky,SPL,5,-1,-1
bloomin' feeling,SPB,1,2,198
bloomin' feeling,SPN,2,7,643
bloomin' feeling,SPH,3,9,980
bloomin' feeling,SPA,4,11,1313
bloomin' feeling,SPL,5,-1,-1
CaptivAte～裁き～(SUBLIME TECHNO MIX),SPB,1,-1,-1
CaptivAte～裁き～(SUBLIME TECHNO MIX),SPN,2,6,523
CaptivAte～裁き～(SUBLIME TECHNO MIX),SPH,3,8,837
CaptivAte～裁き～(SUBLIME TECHNO MIX),SPA,4,10,1231
CaptivAte～裁き～(SUBLIME TECHNO MIX),SPL,5,-1,-1
D,SPB,1,-1,-1
D,SPN,2,8,770
D,SPH,3,10,1004
D,SPA,4,11,1313
D,SPL,5,-1,-1
DAWN -THE NEXT ENDEAVOUR-,SPB,1,-1,-1
DAWN -THE NEXT ENDEAVOUR-,SPN,2,7,831
DAWN -THE NEXT ENDEAVOUR-,SPH,3,9,1369
DAWN -THE NEXT ENDEAVOUR-,SPA,4,11,1577
DAWN -THE NEXT ENDEAVOUR-,SPL,5,-1,-1
Dazzlin' Darlin-秋葉工房mix-,SPB,1,-1,-1
Dazzlin' Darlin-秋葉工房mix-,SPN,2,4,403
Dazzlin' Darlin-秋葉工房mix-,SPH,3,8,767
Dazzlin' Darlin-秋葉工房mix-,SPA,4,10,1053
Dazzlin' Darlin-秋葉工房mix-,SPL,5,-1,-1
DESIRE,SPB,1,-1,-1
DESIRE,SPN,2,5,477
DESIRE,SPH,3,9,1004
DESIRE,SPA,4,11,1446
DESIRE,SPL,5,-1,-1
DOMINION,SPB,1,-1,-1
DOMINION,SPN,2,7,635
DOMINION,SPH,3,10,1194
DOMINION,SPA,4,12,1636
DOMINION,SPL,5,-1,-1
DROP,SPB,1,-1,-1
DROP,SPN,2,4,435
DROP,SPH,3,9,1115
DROP,SPA,4,11,1337
DROP,SPL,5,-1,-1
Elisha,SPB,1,2,217
Elisha,SPN,2,6,462
Elisha,SPH,3,10,754
Elisha,SPA,4,11,1152
Elisha,SPL,5,-1,-1
Empire State Glory,SPB,1,-1,-1
Empire State Glory,SPN,2,6,563
Empire State Glory,SPH,3,9,928
Empire State Glory,SPA,4,11,1329
Empire State Glory,SPL,5,-1,-1
eRAseRmOToRpHAntOM,SPB,1,-1,-1
eRAseRmOToRpHAntOM,SPN,2,7,787
eRAseRmOToRpHAntOM,SPH,3,10,1340
eRAseRmOToRpHAntOM,SPA,4,12,1686
eRAseRmOToRpHAntOM,SPL,5,-1,-1
Evans,SPB,1,3,304
Evans,SPN,2,6,628
Evans,SPH,3,11,1121
Evans,SPA,4,12,1440
Evans,SPL,5,-1,-1
EXUSIA,SPB,1,-1,-1
EXUSIA,SPN,2,6,628
EXUSIA,SPH,3,10,1417
EXUSIA,SPA,4,12,1964
EXUSIA,SPL,5,-1,-1
G59,SPB,1,-1,-1
G59,SPN,2,7,906
G59,SPH,3,10,1210
G59,SPA,4,12,2000
G59,SPL,5,-1,-1
GALGALIM,SPB,1,-1,-1
GALGALIM,SPN,2,6,733
GALGALIM,SPH,3,10,1036
GALGALIM,SPA,4,11,1208
GALGALIM,SPL,5,-1,-1
GOLDEN CROSS,SPB,1,-1,-1
GOLDEN CROSS,SPN,2,5,559
GOLDEN CROSS,SPH,3,9,1072
GOLDEN CROSS,SPA,4,12,1765
GOLDEN CROSS,SPL,5,-1,-1
Hydrogen Blueback,SPB,1,-1,-1
Hydrogen Blueback,SPN,2,5,520
Hydrogen Blueback,SPH,3,8,862
Hydrogen Blueback,SPA,4,10,1170
Hydrogen Blueback,SPL,5,-1,-1
IN THE NAME OF LOVE,SPB,1,3,273
IN THE NAME OF LOVE,SPN,2,4,381
IN THE NAME OF LOVE,SPH,3,7,718
IN THE NAME OF LOVE,SPA,4,9,975
IN THE NAME OF LOVE,SPL,5,-1,-1
Keep it-秋葉工房mix-,SPB,1,-1,-1
Keep it-秋葉工房mix-,SPN,2,5,521
Keep it-秋葉工房mix-,SPH,3,9,867
Keep it-秋葉工房mix-,SPA,4,10,942
Keep it-秋葉工房mix-,SPL,5,-1,-1
Last Burning,SPB,1,-1,-1
Last Burning,SPN,2,5,443
Last Burning,SPH,3,7,840
Last Burning,SPA,4,10,1197
Last Burning,SPL,5,-1,-1
Light Shine,SPB,1,-1,-1
Light Shine,SPN,2,5,415
Light Shine,SPH,3,7,582
Light Shine,SPA,4,10,988
Light Shine,SPL,5,-1,-1
MIRACLE MEETS,SPB,1,-1,-1
MIRACLE MEETS,SPN,2,6,488
MIRACLE MEETS,SPH,3,9,807
MIRACLE MEETS,SPA,4,11,1128
MIRACLE MEETS,SPL,5,-1,-1
mosaic,SPB,1,-1,-1
mosaic,SPN,2,7,754
mosaic,SPH,3,10,1035
mosaic,SPA,4,12,1509
mosaic,SPL,5,-1,-1
NEW SENSATION -もう、あなたしか見えない-,SPB,1,-1,-1
NEW SENSATION -もう、あなたしか見えない-,SPN,2,6,641
NEW SENSATION -もう、あなたしか見えない-,SPH,3,10,1045
NEW SENSATION -もう、あなたしか見えない-,SPA,4,11,1357
NEW SENSATION -もう、あなたしか見えない-,SPL,5,-1,-1
NoN-Fiction Story!,SPB,1,-1,-1
NoN-Fiction Story!,SPN,2,4,360
NoN-Fiction Story!,SPH,3,7,703
NoN-Fiction Story!,SPA,4,10,1112
NoN-Fiction Story!,SPL,5,-1,-1
Programmed Sun,SPB,1,-1,-1
Programmed Sun,SPN,2,6,563
Programmed Sun,SPH,3,9,960
Programmed Sun,SPA,4,11,1309
Programmed Sun,SPL,5,-1,-1
quell～the seventh slave～,SPB,1,-1,-1
quell～the seventh slave～,SPN,2,4,490
quell～the seventh slave～,SPH,3,9,926
quell～the seventh slave～,SPA,4,12,1646
quell～the seventh slave～,SPL,5,-1,-1
Raison d'etre～交差する宿命～,SPB,1,-1,-1
Raison d'etre～交差する宿命～,SPN,2,5,614
Raison d'etre～交差する宿命～,SPH,3,10,1184
Raison d'etre～交差する宿命～,SPA,4,11,1389
Raison d'etre～交差する宿命～,SPL,5,-1,-1
Red. by Full Metal Jacket,SPB,1,-1,-1
Red. by Full Metal Jacket,SPN,2,6,517
Red. by Full Metal Jacket,SPH,3,10,1062
Red. by Full Metal Jacket,SPA,4,12,1643
Red. by Full Metal Jacket,SPL,5,-1,-1
Roots of my way!,SPB,1,-1,-1
Roots of my way!,SPN,2,4,447
Roots of my way!,SPH,3,7,683
Roots of my way!,SPA,4,9,1025
Roots of my way!,SPL,5,-1,-1
Session 1 -Genesis-,SPB,1,-1,-1
Session 1 -Genesis-,SPN,2,6,472
Session 1 -Genesis-,SPH,3,9,841
Session 1 -Genesis-,SPA,4,11,1240
Session 1 -Genesis-,SPL,5,-1,-1
She is my wife,SPB,1,3,217
She is my wife,SPN,2,5,358
She is my wife,SPH,3,9,801
She is my wife,SPA,4,10,1002
She is my wife,SPL,5,-1,-1
SOLID STATE SQUAD,SPB,1,-1,-1
SOLID STATE SQUAD,SPN,2,5,539
SOLID STATE SQUAD,SPH,3,10,1188
SOLID STATE SQUAD,SPA,4,12,1819
SOLID STATE SQUAD,SPL,5,12,1868
Sorrows,SPB,1,-1,-1
Sorrows,SPN,2,5,410
Sorrows,SPH,3,8,848
Sorrows,SPA,4,10,1241
Sorrows,SPL,5,-1,-1
Special One,SPB,1,-1,-1
Special One,SPN,2,5,435
Special One,SPH,3,7,618
Special One,SPA,4,9,895
Special One,SPL,5,-1,-1
THE LAST STRIKER,SPB,1,-1,-1
THE LAST STRIKER,SPN,2,6,721
THE LAST STRIKER,SPH,3,8,995
THE LAST STRIKER,SPA,4,11,1327
THE LAST STRIKER,SPL,5,-1,-1
The Story Begins,SPB,1,-1,-1
The Story Begins,SPN,2,4,428
The Story Begins,SPH,3,8,925
The Story Begins,SPA,4,10,1232
The Story Begins,SPL,5,-1,-1
かずあそび,SPB,1,-1,-1
かずあそび,SPN,2,3,265
かずあそび,SPH,3,6,600
かずあそび,SPA,4,8,852
かずあそび,SPL,5,-1,-1
コスモス,SPB,1,-1,-1
コスモス,SPN,2,5,458
コスモス,SPH,3,8,762
コスモス,SPA,4,9,1049
コスモス,SPL,5,-1,-1
サヨナラ・ヘヴン,SPB,1,2,190
サヨナラ・ヘヴン,SPN,2,4,476
サヨナラ・ヘヴン,SPH,3,6,709
サヨナラ・ヘヴン,SPA,4,8,855
サヨナラ・ヘヴン,SPL,5,-1,-1
たからもの,SPB,1,-1,-1
たからもの,SPN,2,6,646
たからもの,SPH,3,8,943
たからもの,SPA,4,9,1123
たからもの,SPL,5,-1,-1
バビロニア,SPB,1,-1,-1
バビロニア,SPN,2,4,422
バビロニア,SPH,3,7,705
バビロニア,SPA,4,8,940
バビロニア,SPL,5,-1,-1
ワルツ第17番 ト短調”大犬のワルツ”,SPB,1,-1,-1
ワルツ第17番 ト短調”大犬のワルツ”,SPN,2,6,669
ワルツ第17番 ト短調”大犬のワルツ”,SPH,3,10,1214
ワルツ第17番 ト短調”大犬のワルツ”,SPA,4,12,1684
ワルツ第17番 ト短調”大犬のワルツ”,SPL,5,-1,-1
"水上の提督(Short mix from ""幻想水滸伝V"")",SPB,1,-1,-1
"水上の提督(Short mix from ""幻想水滸伝V"")",SPN,2,4,357
"水上の提督(Short mix from ""幻想水滸伝V"")",SPH,3,8,868
"水上の提督(Short mix from ""幻想水滸伝V"")",SPA,4,10,1073
"水上の提督(Short mix from ""幻想水滸伝V"")",SPL,5,-1,-1
未来のプリズム,SPB,1,-1,-1
未来のプリズム,SPN,2,4,351
未来のプリズム,SPH,3,7,701
未来のプリズム,SPA,4,9,893
未来のプリズム,SPL,5,-1,-1
Aegis,SPB,1,-1,-1
Aegis,SPN,2,6,459
Aegis,SPH,3,8,717
Aegis,SPA,4,11,1202
Aegis,SPL,5,-1,-1
ALBIDA,SPB,1,3,267
ALBIDA,SPN,2,6,560
ALBIDA,SPH,3,10,1013
ALBIDA,SPA,4,12,1530
ALBIDA,SPL,5,-1,-1
Answer,SPB,1,-1,-1
Answer,SPN,2,4,393
Answer,SPH,3,7,748
Answer,SPA,4,10,1224
Answer,SPL,5,-1,-1
ANTHEM LANDING,SPB,1,-1,-1
ANTHEM LANDING,SPN,2,5,489
ANTHEM LANDING,SPH,3,9,987
ANTHEM LANDING,SPA,4,11,1484
ANTHEM LANDING,SPL,5,-1,-1
Believe In Me,SPB,1,-1,-1
Believe In Me,SPN,2,5,533
Believe In Me,SPH,3,9,962
Believe In Me,SPA,4,11,1213
Believe In Me,SPL,5,-1,-1
BLUST OF WIND,SPB,1,-1,-1
BLUST OF WIND,SPN,2,5,427
BLUST OF WIND,SPH,3,8,810
BLUST OF WIND,SPA,4,10,1080
BLUST OF WIND,SPL,5,-1,-1
Bounce Bounce Bounce,SPB,1,-1,-1
Bounce Bounce Bounce,SPN,2,5,560
Bounce Bounce Bounce,SPH,3,9,909
Bounce Bounce Bounce,SPA,4,11,1293
Bounce Bounce Bounce,SPL,5,-1,-1
Breaking the ground,SPB,1,-1,-1
Breaking the ground,SPN,2,5,598
Breaking the ground,SPH,3,8,899
Breaking the ground,SPA,4,10,1274
Breaking the ground,SPL,5,-1,-1
Broken,SPB,1,-1,-1
Broken,SPN,2,5,543
Broken,SPH,3,9,1039
Broken,SPA,4,12,1598
Broken,SPL,5,-1,-1
BROKEN EDEN,SPB,1,-1,-1
BROKEN EDEN,SPN,2,6,542
BROKEN EDEN,SPH,3,9,917
BROKEN EDEN,SPA,4,11,1182
BROKEN EDEN,SPL,5,-1,-1
Dances with Snow Fairies,SPB,1,-1,-1
Dances with Snow Fairies,SPN,2,7,743
Dances with Snow Fairies,SPH,3,10,1165
Dances with Snow Fairies,SPA,4,12,1623
Dances with Snow Fairies,SPL,5,-1,-1
DAYDREAMER,SPB,1,-1,-1
DAYDREAMER,SPN,2,6,598
DAYDREAMER,SPH,3,8,885
DAYDREAMER,SPA,4,10,1265
DAYDREAMER,SPL,5,-1,-1
Destiny Sword,SPB,1,-1,-1
